Source,FactualReporting,BiasRating,MediaType,TrafficPopularity,MbfcCredibilityRating,Reasoning,Country,WorldPressFreedomRank,PageUrl
theracketreport.com,,,,,,,,,https://mediabiasfactcheck.com/the-racket-report/
littlegreenfootballs.com,High,,,,,,USA,,https://mediabiasfactcheck.com/little-green-footballs/
magazine.atavist.com,VeryHigh,,,,,,USA,,https://mediabiasfactcheck.com/atavist-magazine/
australiannationalreview.com,Low,,,,,,,,https://mediabiasfactcheck.com/australian-national-review/
cnsnews.com,Low,FarRight,Website,MediumTraffic,LowCredibility,"Propaganda, Some Fake News",USA,45,https://mediabiasfactcheck.com/cns-news/
burrardstreetjournal.com,,,,,,,Canada,,https://mediabiasfactcheck.com/burrard-street-journal/
aranews.net,High,,,,,,,,https://mediabiasfactcheck.com/ara-news/
manhattan-institute.org,Mixed,Right,OrganizationFoundation,MediumTraffic,MediumCredibility,,USA,44,https://mediabiasfactcheck.com/manhattan-institute-for-policy-research/
discoverthenetworks.org,Low,,,,,"Extreme Right, Poor Sourcing, Propaganda, Hate Group",USA,,https://mediabiasfactcheck.com/discover-the-networks/
kurdistan24.net,Mixed,,,,,,,,https://mediabiasfactcheck.com/kurdistan-24/
beaconjournal.com/,High,LeftCenter,Newspaper,MediumTraffic,HighCredibility,,USA,45,https://mediabiasfactcheck.com/akron-beacon-journal/
represent.us,High,,,,,,USA,,https://mediabiasfactcheck.com/represent-us/
srnnews.com,High,,,,,,USA,,https://mediabiasfactcheck.com/salem-radio-network-news-srn-news/
sctimes.com,High,,,,,,USA,,https://mediabiasfactcheck.com/st-cloud-times/
business2community.com,High,,,,,,,,https://mediabiasfactcheck.com/business-2-community/
ny1.com,High,,,,,,USA,,https://mediabiasfactcheck.com/spectrum-news-ny1/
adaa.org/,VeryHigh,LeastProScience,OrganizationFoundation,MediumTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/anxiety-and-depression-association-of-america-adaa/
ancient-code.com,Mixed,,,,,,Unknown,,https://mediabiasfactcheck.com/ancient-code/
conservativeflashnews.com,Low,,,,,,,,https://mediabiasfactcheck.com/conservative-flash-news/
hardnews.network,Mixed,,,,,,,,https://mediabiasfactcheck.com/hard-news/
simplepolitics.co.uk,High,,,,,,,,https://mediabiasfactcheck.com/simple-politics/
smartnews.com,Mixed,LeastBiased,Website,HighTraffic,MediumCredibility,,Japan,67,https://mediabiasfactcheck.com/smartnews/
amnesty.org,High,,,,,,United Kingdom,,https://mediabiasfactcheck.com/amnesty-international/
identityevropa.com,,,,,,"Fascism, Propaganda, Conspiracy, Hate Group",USA,,https://mediabiasfactcheck.com/identity-evropa/
bio.org,VeryHigh,,,,,,USA,,https://mediabiasfactcheck.com/biotechnology-innovation-organization-bio/
abeldanger.org,Mixed,,,,,,,,https://mediabiasfactcheck.com/abel-danger/
369news.net,Mixed,NotRated,Website,MinimalTraffic,LowCredibility,,Unknown,,https://mediabiasfactcheck.com/369news/
technologyreview.com,VeryHigh,,,,,,USA,,https://mediabiasfactcheck.com/mit-technology-review/
afj.org,High,,,,,,USA,,https://mediabiasfactcheck.com/alliance-for-justice-afj/
ama-assn.org,High,,,,,,USA,,https://mediabiasfactcheck.com/american-medical-association-ama/
ew.com,,,,,,,,,https://mediabiasfactcheck.com/sources-pending/
bearingarms.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/bearing-arms/
conservative101.com,Low,,,,,,,,https://mediabiasfactcheck.com/conservative-101/
hannity.com,Low,,,,,"Extreme Right, Poor Sourcing, Propaganda, Conspiracy, Numerous Failed Fact Checks",USA,,https://mediabiasfactcheck.com/hannity-com/
conservativeinfocorner.us,Low,,,,,,,,https://mediabiasfactcheck.com/conservative-info-corner/
albawaba.com,Mixed,RightCenter,Website,MediumTraffic,LowCredibility,"Lack of transparency, Propaganda, Censorship, Failed Fact Checks, Poor Sourcing",Jordan,128,https://mediabiasfactcheck.com/al-bawaba/
teapartypatriots.org,Mixed,,,,,"Conspiracy Theories, Pseudoscience, Poor Sourcing, Lack of Transparency, Failed Fact Checks",USA,,https://mediabiasfactcheck.com/tea-party-patriots/
blackeyepolitics.com,Low,,,,,"Extreme Right, Propaganda, Poor Sourcing, Lack of Transparency",Unknown,,https://mediabiasfactcheck.com/black-eye-politics-bias-credibility-rating/
redrocktribune.com,Low,,,,,,,,https://mediabiasfactcheck.com/red-rock-daily-news/
opensecrets.org,Mixed,Right,OrganizationFoundation,MediumTraffic,MediumCredibility,,USA,44,https://mediabiasfactcheck.com/national-federation-of-republican-women/
thetruthaboutcancer.com,Low,,,,,,USAWord Press Freedom Rank,,https://mediabiasfactcheck.com/the-truth-about-cancer/
africacheck.org,VeryHigh,,,,,,South Africa,,https://mediabiasfactcheck.com/africa-check/
ekirikas.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/ethnikos-kyrix/
en.mercopress.com,Mixed,,,,,"Lack of Transparency, Poor Sourcing",Uruguay,,https://mediabiasfactcheck.com/mercopress/
blingnews.com,Low,,,,,"Extreme Right, Fake News",USA,,https://mediabiasfactcheck.com/blingnews-com/
politicoinfo.com,Low,,,,,,,,https://mediabiasfactcheck.com/politico-info/
armscontrol.org,High,,,,,,USA,,https://mediabiasfactcheck.com/arms-control-association/
thisisthezerohour.com,High,,,,,,USA,,https://mediabiasfactcheck.com/the-zero-hour/
desmogblog.com,High,Left,OrganizationFoundation,MinimalTraffic,HighCredibility,,USA,44,https://mediabiasfactcheck.com/desmog/
dailysoundandfury.com,Mixed,,,,,,USA,,https://mediabiasfactcheck.com/daily-sound-and-fury/
healthnutnews.com,VeryLow,,,,,,USA,,https://mediabiasfactcheck.com/health-nut-news/
elmundo.es,MostlyFactual,,,,,,Spain,,https://mediabiasfactcheck.com/el-mundo/
thejournal.ie,High,,,,,,Ireland,,https://mediabiasfactcheck.com/thejournal-ie/
allianceforadvancedhealth.com,Mixed,,,,,,,,https://mediabiasfactcheck.com/alliance-advanced-health/
